0,780,0.0
5,3622,0.76
10,7612,0.62
15,15488,0.98
20,18956,0.98
25,22660,0.99
30,27846,1.0
35,29742,1.0
40,32658,1.0
45,34314,1.0
50,37708,0.99
55,42036,1.0
60,47026,1.0
65,50554,1.0
70,55732,1.0
75,59708,1.0
80,65260,1.0
85,70868,1.0
90,74684,0.99
95,80630,0.97
100,82134,0.94
105,87320,1.0
110,91648,0.86
115,94808,0.96
120,99400,1.0
125,103012,0.99
130,108790,0.97
135,112222,1.0
140,115990,1.0
145,118822,1.0
150,123060,1.0
155,128558,1.0
160,134572,0.97
165,139366,1.0
170,143762,0.99
175,146266,1.0
180,150082,1.0
185,154796,1.0
190,159632,1.0
195,166876,1.0
200,171062,0.64
220,193554,0.99
240,219874,0.87
260,238364,0.88
280,252600,0.07
300,264500,0.21
320,280782,0.92
340,295646,0.95
360,306266,0.19
380,317742,0.08
400,328068,0.01
420,336054,0.03
440,344776,0.01
460,357932,0.31
480,371154,0.79
500,392360,0.26
520,411114,0.11
540,433976,0.67
560,450170,0.27
580,466220,0.39
600,477486,0.0
620,494156,0.76
640,505092,0.0
660,513732,0.24
680,528272,0.01
700,550266,0.94
720,566694,0.07
740,581880,0.03
760,599234,0.21
780,616688,0.0
800,630136,0.34
820,644414,0.45
840,658892,0.36
860,679640,0.0
880,703070,0.14
900,731282,0.02
920,756314,0.02
940,769352,0.22
960,790736,0.0
980,801824,0.0
